busno	busid	stationid	stationnm	x	y
0017	4001700	03689	청암자이아파트	126.9465552752314	37.534546996142446
0017	4001700	03298	청암동강변삼성아파트	126.94931774716754	37.53396790725961
0017	4001700	03321	청심경로당	126.95056033715161	37.53370621462281
0017	4001700	03304	원효2동주민센터	126.95095037982259	37.5342145961956
0017	4001700	03306	산천동	126.95400934954684	37.53533949535592
0017	4001700	03308	신창동세방아파트	126.95507053560156	37.53568322186566
0017	4001700	03310	남이장군사당	126.95798036266295	37.536625038396146
0017	4001700	03312	새마을금고	126.95953376380243	37.537071623896374
0017	4001700	03247	용문시장	126.96071536275667	37.53662327655777
0017	4001700	03250	용산전자상가입구	126.96202680680305	37.534476390899805
0017	4001700	03252	전자상가관광터미널	126.96383819319959	37.532550412948
0017	4001700	03119	신용산역3번출구	126.96726037805477	37.5287947338353
0017	4001700	03255	용산역	126.96597633495722	37.52846006345722
0017	4001700	03256	용사의집	126.96442004124745	37.527252133048364
0017	4001700	03122	한강로동웨딩코리아	126.96393447253482	37.52529029408285
0017	4001700	03294	서부이촌동입구	126.95969597510943	37.523719209545156
0017	4001700	03292	이촌2동대림아파트.새남터성지	126.95632305237828	37.52617530684423
0017	4001700	03290	이촌2동주민센터	126.95506398817486	37.52773643820848
0017	4001700	03288	이촌2동부영주유소	126.95460654512208	37.530171030566315
0017	4001700	03287	이촌119안전센터.성촌공원	126.95309040930849	37.53011637223053
0017	4001700	03296	원효2동산호아파트후문	126.94969323963493	37.53254343264242
0017	4001700	03298	청암동강변삼성아파트	126.94931774716754	37.53396790725961
0017	4001700	03299	원효2동산호아파트	126.95054155589924	37.533017768272806
0017	4001700	03301	현대자동차써비스	126.95350558841577	37.53205209459142
0017	4001700	03289	이촌2동부영주유소	126.95435109103381	37.52974741603393
0017	4001700	03291	이촌2동주민센터	126.954679179327	37.527937236107036
0017	4001700	03293	이촌2동대림아파트.새남터성지	126.95616587186272	37.52602927063749
0017	4001700	03295	이촌2동강변아파트	126.95978097462469	37.52344620551758
0017	4001700	03001	한강대교북단	126.9631917348763	37.52408980127193
0017	4001700	03003	신용산역	126.96620317185142	37.52724544796668
0017	4001700	03253	신용산역	126.96777241553974	37.52997801653764
